10.2 Monthly Average Wholesale Price- 2018,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,(Per Quintal/Taka),Sl no,Name of Comodity,Year-2018,241,",,",Khesari,"2,979","3,060","3,080","3,077","3,069","3,170","3,151","3,098","3,042","3,105","3,100","3,094",SL:,Name of crops,2012-2013,2013-14,2014-15,2015-16,2016-17,2017-18
(Per Quintal/Taka),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sl no,Name of Comodity,,Year-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Mugh Local,"11,372","11,904","11,949","11,798","11,672","11,103","10,663","10,056","9,777","9,766","9,689","9,652","10,783",43,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Gram Gota,"8,375","8,490","8,351","7,980","7,558","7,161","7,171","7,019","6,892","6,821","6,945","7,084","7,487",44,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",",, Broken","8,361","8,198","8,055","7,819","7,407","7,211","6,838","6,850","6,812","6,840","6,860","7,058","7,359",45,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dall :,Motor Local,"7,106","8,008","7,427","6,181","5,871","5,788","5,697","5,203","5,339","5,009","4,883","4,830","5,945",46,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name of Comodity,,Year-2018,,,,,,,,,,,,,Sl no,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",",, Import","3,257","3,211","3,240","3,324","3,533","3,360","3,395","3,300","3,238","3,219","3,229","3,314",,47,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"3,302",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Khesari,"4,698","4,606","4,506","4,526","4,564","4,573","4,534","4,410","4,333","4,242","4,251","4,251",,48,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"4,458",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oil Seeds :,Mastard,"5,194","5,026","5,063","5,008","5,159","5,282","5,503","5,235","5,309","5,337","5,355","5,330",,49,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"5,233",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Tisi,"6,099","6,002","5,931","5,564","5,782","5,631","5,507","5,713","5,825","5,795","5,708","5,688",,50,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"5,770",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Til,"4,685","4,853","4,715","4,622","4,798","5,046","5,948","6,138","6,051","6,120","6,471","7,040",,51,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"5,541",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Groundnut,"7,567","7,489","7,569","7,646","7,521","7,343","7,471","7,507","7,672","7,677","8,102","8,293",,52,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"7,655",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oil :,Mustard,"12,701","13,458","12,718","12,679","12,723","12,905","12,880","12,847","12,859","12,746","12,971","13,008",,53,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"12,875",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Soyabean,"8,231","8,242","8,294","8,209","8,187","8,212","8,654","9,171","9,159","8,069","8,020","7,931",,54,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"8,365",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Pump,"6,925","6,913","6,910","6,879","6,860","6,845","6,756","6,659","6,595","6,501","6,372","6,157",,55,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"6,698",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Dalda,"9,032","8,963","8,947","8,796","8,842","8,698","8,901","8,835","8,867","8,789","8,716","11,664",,56,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"9,087",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,",,",Butter oil,"63,500","63,500","63,500","64,000","61,750","63,389","61,750","62,050","63,250","64,250","60,500","61,750",,57,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"62,766",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oil :,Coconut,"21,552","21,561","21,888","21,012","22,209","24,124","24,047","22,424","22,302","22,061","22,571","22,471",,58,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"22,352",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oil cick,Mustard,"3,285","3,291","3,287","3,267","3,277","3,291","3,311","3,349","3,361","3,370","3,349","3,352",,59,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"3,316",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
