Sl no,Name of Comodity,,Year-2020,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
163,",,",Hilsha,"62,342","58,932","58,757","58,027","60,583","63,029","64,609","62,770","60,351","59,655",57328,58566,60413
164,",,",Prawn bagda,"61,325","61,313","63,583","65,044","66,234","61,250","62,047","59,057","61,375","64,150",61361,64778,62626
165,",,",golda,-,"58,125","58,981","57,263","64,607","54,850","56,033","55,142","55,963","61,591",61080,60339,58543
166,",,",small,"36,777","38,143","39,633","40,636","40,756","40,532","40,356","41,244","39,958","40,789",40775,39968,39964
167,",,",Koii,"16,436","17,014","16,990","15,888","17,675","17,396","15,261","16,760","15,015","14,529",14487,14359,15984
168,",,",Magur,"60,950","60,197","60,222","59,792","60,942","60,330","60,364","61,864","61,076","61,250",60140,57604,60394
169,",,",Shing,"43,427","45,194","45,230","46,529","45,165","44,353","43,599","45,294","44,745","44,313",41934,39560,44112
170,",,",Silvar curp,"13,086","13,001","12,989","12,928","13,052","13,084","13,060","12,979","12,756","12,878",12682,12540,12920
171,",,",Grass curp,"15,762","16,133","15,840","15,783","15,878","15,918","15,879","15,981","15,817","15,836",15725,15732,15857
172,",,",Telapia,"12,270","12,255","12,255","12,369","12,150","12,557","12,157","12,102","12,167","12,065",11960,11641,12162
173,",,",Rupchada,"80,000","80,000","80,000","80,000","80,000","80,000","80,000","72,500","80,000","64,500",67375,66300,75890
174,Fish(Kha)Dry,Rupchada,"185,000","165,000","135,000","165,000","112,750","135,000","135,000","131,667","135,000","128,750",128750,135000,140993
175,",,",Loitta,"47,736","47,320","46,975","49,073","50,184","47,494","47,269","47,890","48,043","47,769",47744,46713,47851
176,",,",Puti,"37,240","36,675","36,925","38,300","34,719","37,300","37,800","36,000","36,031","35,125",35188,33120,36202
177,",,",Prawn,"70,063","71,906","71,359","67,056","64,560","70,135","66,617","64,516","67,797","63,188",69828,64861,67657
178,“,Kachki,"44,142","44,042","43,464","43,607","40,800","44,083","42,764","44,486","43,604","42,125",41708,43400,43185
179,,Salted Hilsha,"74,000","73,750","75,000","75,000","58,750","58,750","46,389","54,542","54,813","52,375",53000,80000,63031
180,Betel nut,-,"30,616","30,762","30,718","30,449","30,308","30,161","29,937","29,504","29,690","30,552",31192,30943,30403
181,"Betel leaves
bangla",Large,"9,363","10,180","11,196","10,675","9,694","9,492","8,321","7,618","7,257","7,339",7665,8486,
,,,,,,,,,,,,,,,8941
,,,,,,,,,,,,,,,
182,",,",Medium,"6,719","7,239","7,326","7,269","6,649","6,510","5,501","5,163","5,195","4,858",5043,5762,6103
183,",,",Small,"3,628","4,011","3,945","3,958","3,458","3,365","2,886","2,732","2,670","2,723",2733,3634,3312
184,",,",Sanchi,"2,522","2,567","2,400","1,696","1,929","1,971","2,334","1,589","2,006","1,550",1650,2418,2053
185,Fruits:,Mango Guti,-,-,-,-,"4,822","5,370","3,563",-,-,-,-,-,4585
186,,Gopalbhog,-,-,-,-,"5,749","4,390","5,778","6,708",-,-,-,-,5656
187,,Himsagor,-,-,-,-,"5,986","5,203","6,328","7,306",-,-,-,-,6206
188,,Langra,-,-,-,-,"6,313","5,468","6,365",-,"2,500",-,-,-,5162
189,,Fazli,-,-,-,-,"6,250","5,312","6,052","7,577","6,375",-,-,-,6313
190,,Aswini,-,-,-,-,-,"3,600","4,463","5,896","8,205",-,-,-,5541
191,Jackfruits,Large(4+kg),-,-,-,-,"9,575","10,318","9,026","9,571","18,000",-,-,-,11298
192,,Small,-,-,-,-,"5,870","5,282","4,427","3,938","9,000",-,-,-,5703
193,Fruits,Green Coconut,"3,193","3,238","3,236","3,556","3,503","3,511","3,500","3,641","3,762","3,697",3593,3440,3489
194,,Batabi lebu,"2,110","2,053","1,878","1,462","1,867","1,878","2,139","2,381","2,042","2,248",2237,1542,1989
195,,Elachi lebu,337,356,411,520,386,370,304,288,290,334,375,339,359
196,,Kagozi lebu,319,334,378,452,364,354,310,314,351,359,357,350,354
197,",,",Guava,"5,199","5,583","5,586","5,353","5,614","5,773","5,234","3,821","3,310","3,599",4091,4071,4853
198,",,",Amra,"1,900",-,-,-,-,-,"2,888","2,700","2,411","2,955",2899,2349,2586
199,",,",Orange,"1,324","1,309","1,342","1,369","1,416","1,467","1,610","1,494","1,475","1,422",1906,1723,1488
200,",,",Apple,"12,024","12,047","12,228","12,539","13,598","13,419","12,942","13,684","13,481","13,360",12470,12703,12875
201,",,",Boroi,"6,012","5,316","5,256","5,388","5,440","5,642",-,"4,900","5,850",-,,-,5475
202,",,",Water melon,-,-,"16,139","10,713","11,063","11,289","10,575",-,"6,500","6,500",,-,10397
203,Fruit:,Melon (Bangi),-,-,"5,547","4,583","4,008","2,533","1,000",-,-,-,,-,3534
204,",,",Ripe Papaya,"5,661","5,803","5,685","6,579","6,566","6,620","6,289","6,314","6,411","6,989",6784,6888,6382
205,",,",Lychee,-,-,-,-,"2,680","4,334","2,890",-,-,-,,-,3301
