Sl no,Name of Comodity,,Year-2020,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
,fertilizer,,,,,,,,,,,,,,
126,Powder milk,Bag,"55,000","55,000","55,000","55,000",-,594,-,594,594,594,594,594,22356
127,Cow Milk,liquid,"5,207","5,148",-,"5,118","5,070","5,228",-,"5,228","5,228","5,228",5228,5228,5191
128,",,",milkvita,-,-,-,-,-,-,-,-,-,-,,-,-
129,Gawa ghee,-,"80,720","80,550","80,550","80,720","80,500","82,900","82,900","82,900","82,900","82,900",82900,82900,81945
130,Dano,--,"6,619","6,569","6,569","6,569","6,569","6,325",-,"6,325","6,325","6,325",6325,6325,6440
131,Red cow,-,"6,390","6,175","6,175","6,350","6,875","5,825","5,825","5,825","5,825","5,825",5825,5825,6062
132,Anchor,-,"6,090","6,000","6,000","6,000","6,000","5,400",-,"5,400","5,400","5,400",5400,5400,5684
133,"Condensed
milk",One kartoon,"2,183","2,184","2,184","2,183","2,182","2,180",-,"2,180","2,180","2,180",2180,2180,
,,,,,,,,,,,,,,,2182
,,,,,,,,,,,,,,,
134,"Hen/chicken-
Live",Local large(900gm+),"33,661","33,982","34,454","35,605","36,189","37,182","37,892","36,939","35,250","34,439",34014,33866,
,,,,,,,,,,,,,,,35289
,,,,,,,,,,,,,,,
135,",,",",, medium(700gm+)","32,891","33,568","34,237","35,648","36,240","36,924","36,874","36,436","35,740","34,991",34596,34395,35211
136,",,",",, small(500gm+)","33,522","33,478","34,688","34,888","35,292","36,046","35,477","36,487","35,500","34,500",34719,34446,34920
137,",,",Farm broiler,"10,450","10,475","10,594","10,635","12,096","12,910","13,043","10,922","10,614","11,053",11091,10672,11213
138,",,",Duck,"24,143","23,984","24,714","25,400","24,381","23,799","25,984","24,054","23,818","29,469",28594,27212,25463
139,Meat,Cow,"49,541","49,813","50,120","51,330","50,514","51,509","50,641","50,097","50,035","49,992",49992,49878,50288
140,",,",Goat,"67,740","67,472","68,311","70,280","68,947","69,758","71,767","68,991","69,908","70,047",70052,70279,69463
141,Egg,Chicken local,"1,061","1,060","1,075","1,069","1,083","1,067","1,075","1,077","1,072","1,088",1083,1089,1075
142,",,",Farm red,728,716,719,687,678,729,766,833,812,830,786,697,
,,,,,,,,,,,,,,,748
,,,,,,,,,,,,,,,
143,",,",Farm white,-,-,-,-,620,-,-,808,778,-,747,717,734
144,",,",duck,"1,037","1,038","1,035","1,059","1,083",985,"1,000","1,007","1,012","1,046",1061,1051,1035
145,Fish (Ka):Fresh,Rui local big(5+kg),"36,625","33,900","33,700","37,667","31,250","32,833","32,833","36,313","33,167","33,250",33500,32893,33994
146,",,","Rui local
(2.5+kg)medium","29,724","29,368","29,017","28,944","28,547","29,056","28,682","28,500","27,924","28,124",27874,28206,
,,,,,,,,,,,,,,,28664
,,,,,,,,,,,,,,,
147,",,","Rui local small
(1.5+kg)","25,508","25,307","25,209","24,808","24,539","24,880","24,967","24,741","24,689","24,698",24371,24067,
,,,,,,,,,,,,,,,224815
,,,,,,,,,,,,,,,
148,",,","Imported
medium(2.5+kg)","23,888","23,701","23,409","24,068","23,608","24,133","23,471","23,285","23,038","23,447",23441,23170,
,,,,,,,,,,,,,,,23555
,,,,,,,,,,,,,,,
149,",,",Imported small,"21,823","21,151","20,145","20,601","19,651","21,493","21,483","19,775","20,475","20,241",20148,19344,20527
150,",,",Katal large,"35,120","35,104","32,688","32,583","35,438","34,958","35,033","34,667","32,155","30,875",30875,30917,33368
151,",,",medium,"28,512","28,285","28,330","28,681","28,438","28,567","28,710","28,505","27,779","27,672",27694,27517,28224
152,",,",small,"23,123","22,814","22,672","22,372","22,030","22,361","22,389","21,968","22,291","22,163",22074,21961,22351
153,Fish (Ka):Live,Mrigel large,"20,393","20,342","20,511","20,497","20,506","20,585","20,194","19,974","20,201","19,853",19911,19296,20189
154,",,",small,"15,621","14,880","14,864","14,885","14,839","14,939","15,159","14,922","15,113","14,971",14847,14577,14968
155,",,",Airr large,"58,313","53,889","39,000","48,167","29,750","48,167","48,167","48,167","48,167","52,000",53000,54083,48406
156,",,",small,"47,329",-,"53,323","43,033","39,344","49,350","49,642","40,000","42,000","36,833",42100,36717,43606
157,",,",Boal large,"65,400","65,350","68,100","63,250","56,000","66,600","65,850","63,250","59,850","60,917",60361,63625,63213
158,",,",Small,"40,478","39,238","38,961","37,813","34,964","38,875","39,177","37,593","38,500","38,750",38662,37994,38417
159,",,",Chital large,"85,000","85,000","85,000","85,000",-,"85,000","85,000","85,000","85,000","85,000",85000,76000,84182
160,",,",Chital small,"31,750","24,667","25,500","31,750","18,500","31,750","25,500","27,250","20,167","15,318",19781,17320,28104
161,",,",Pangush larges,"11,743","11,834","11,967","12,007","12,012","12,034","11,988","11,880","11,703","11,643",11589,11346,11812
162,",,",small,"10,073","10,087","10,085","10,413","10,018","10,142","10,103","9,977","10,046","9,748",9646,9559,9991
