Sl no,Name of Comodity,,Year-2020,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
41,",,",Motor local,3436,3618,4316,4757,4755,4869,4614,4703,4739,4816,4970,5428,4585
42,",,",Motor foreign,3436,3618,4316,4757,4755,4869,4614,4703,4739,4816,4970,5428,4585
43,",,",kheshari,4492,4802,4793,5513,5334,4952,4351,4598,4639,5099,5062,4750,4865
44,Dal,Mash gota,9169,9199,9211,9368,10893,10968,10689,10378,10159,10223,10368,10257,10074
45,",,",Broken,9120,9353,9449,10152,10491,10446,10392,10404,10214,10615,12331,11135,10342
46,",,",Mashur local gota,9950,10187,10139,11283,11440,11148,10904,10661,10482,10836,11559,10284,10739
47,",,",Mashur broken,7044,7038,6663,7544,8146,7801,7617,7303,7478,7413,7461,7596,7425
48,",,",Mashur foreign,8670,9098,8283,9873,9271,8433,8517,8400,9178,9049,9289,9042,8925
49,",,",Mug local,12227,12552,12230,12980,13274,12211,11658,11607,11567,11814,12109,12169,12200
50,",,",Chola gota,7524,7819,7320,7389,7234,7013,7037,6958,7126,7385,7530,7482,7318
51,",,",Chola broken,7335,7646,7441,7709,7690,7447,7326,7167,7369,7494,7939,7429,7499
52,",,",Motor local,5449,5724,6716,8809,9821,9424,8294,7683,7982,7916,7598,7731,7762
53,",,",Motor foreign,3530,3675,3541,3882,3988,3725,3523,3324,3398,3865,3919,3736,3675
54,",,",kheshari,6301,6609,6669,7178,7371,7089,6823,6542,6312,6335,7222,6555,6750
55,Oil seed,Mustard,4973,4828,4674,4953,4991,4933,5234,5362,5435,5622,6246,5911,5264
56,",,",Tishi,6120,6050,5863,6125,6156,5738,5950,5952,6095,6190,6258,6506,6084
57,",,",Til,6080,6397,10669,10075,8919,6103,6390,6273,6374,6602,8538,6500,7185
58,",,",Nut,9453,9512,9482,9479,9610,9253,9196,9156,9220,9373,10558,9192,9457
59,Oil,Mustard,12853,12793,12868,12977,13029,12901,13273,13535,12978,13340,13547,13572,13139
60,",,",Soyabeen,8681,8586,8580,8644,8618,8415,8308,9034,8631,8852,9355,9945,8804
61,",,",Pulm,7398,7441,7239,7127,7105,6652,6630,6827,7363,7693,8291,8781,7379
62,“,Ghee (dalda),8298,8343,8263,8284,8314,8240,8162,8221,8201,8449,10291,9545,8551
63,",,",Butter oil,64000,61250,56500,60000,60000,61667,48000,65000,65000,65000,65000,65000,61368
64,",,",Coconut,22884,22681,22795,23122,23216,23178,23563,23526,23642,23888,23783,23921,23350
65,khail,Mustard,3341,3323,3311,3354,3363,3400,3419,3466,3480,3466,3507,3488,3410
66,",,",Til,3446,3463,3685,3746,3856,3738,3940,3713,3710,3715,3728,3743,3707
67,",,",Others,3503,3518,3538,3658,3758,3783,3650,3585,3573,3575,3560,3535,3603
68,Spice,Onion local,10642,10441,4261,4337,3801,3778,3500,3523,6357,7819,6444,4698,5800
69,",,",Onion imported,8593,7639,4893,4069,3433,2373,2182,2295,5019,6690,4814,3297,4609
70,",,",Garlic local,15391,14771,7019,9286,9223,8845,8260,8012,8607,9294,10020,8525,9771
71,",,",Garlic imported,13735,16931,14636,14793,12632,9919,8106,7737,7712,8309,9479,8434,11035
72,,Chilli dried,21923,23529,18326,20375,19829,18447,17971,17349,20553,21069,21230,21605,20184
73,",,",Green chilli,4041,4291,4221,2656,3017,4017,11809,15062,14636,16198,11157,8024,8261
74,",,",Ginger local,11853,11504,10902,19715,27566,21022,14508,15459,13830,11317,9516,7888,14590
75,",,",Ginger imported,11825,11286,90867,20971,15243,13609,13280,14369,15153,13818,10193,8206,19906
76,",,",Turmeric round,13333,13200,10500,10909,11000,11000,12419,12750,13839,13351,12874,13195,12364
77,",,",Turmeric long,12811,12771,11779,12170,12483,12576,12269,12048,12882,12765,12685,12711,12496
78,",,",Coriander old,9814,10105,8523,8585,8791,9348,9142,9076,10842,10426,10161,9272,9507
79,",,",Coriander new,10000,9667,9131,9315,9249,9216,9181,8988,9723,9100,9200,4823,9266
80,Jute,White/tosha top,"2,825","2,825","2,825","3,447","3,383","3,033","2,800","3,033","3,033","3,033",3033,3650,3077
81,",,",Middle,"4,438","4,438","4,438","4,789","4,496","4,325",-,"4,325","4,325","5,190",5031,5100,4627
82,",,",B-botom,-,-,-,-,-,-,-,-,-,-,,-,-
83,",,",C -bottom,-,-,-,-,-,-,-,-,-,-,,-,--
84,",,",Cross botom,-,-,-,-,-,-,-,-,-,-,,-,--
