(Per Quintal/Taka),,,,,,,,,,,,,,,
Sl no,Name of Comodity,,Year-2018,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
,,,,,,,,,,,,,,,
15,Rice Aus :,Coarse,"3,675","3,675","3,950",-,-,-,-,-,"2,906","2,961","2,901","2,844","3,273"
,,,,,,,,,,,,,,,
16,Rice Boro :,Fine,"5,594",-,"5,718","5,653","5,273","5,109","5,119","5,065","5,046","4,941","4,833","4,719","5,188"
,,,,,,,,,,,,,,,
17,",,",Medium,"4,643","4,710","4,781","4,587","4,177","4,072","4,080","3,998","3,946","3,818","3,736","3,651","4,183"
,,,,,,,,,,,,,,,
18,Rice Boro :,Coarse,"3,816","3,795","3,812","3,614","3,478","3,445","3,477","3,419","3,376","3,247","3,125","3,025","3,469"
,,,,,,,,,,,,,,,
19,",,",Pajam,"4,621",-,"3,775","4,738","4,454","4,775","4,839","4,876","4,735","4,785","4,750","4,970","4,665"
,,,,,,,,,,,,,,,
20,Rice O. M. S,Coarse,"3,399","3,433","3,413","3,380","3,401","3,252","3,338","3,313","3,307","3,235","3,163","3,071","3,309"
,,,,,,,,,,,,,,,
21,Rice Aromatic,Chinigura,"7,893","7,933","7,902","7,947","7,947","8,015","8,072","8,159","8,175","8,206","8,207","8,178","8,053"
,,,,,,,,,,,,,,,
22,,Kalojira,"7,518","7,534","7,492","7,515","7,540","7,621","7,671","7,656","7,736","7,768","7,802","7,800","7,638"
,,,,,,,,,,,,,,,
23,"Rice Aromatic
Wheat :
,,",Kataribhog,"6,337","6,438","6,429","6,430","6,429","6,542","6,377","6,480","6,487","6,476","6,427","6,290","6,428"
,,,,,,,,,,,,,,,
24,,Red,"2,346","2,351","2,425","2,216","2,258","2,286","2,291","2,314","2,387","2,426","2,440","2,386","2,344"
,,,,,,,,,,,,,,,
25,,White,"2,372","2,331","2,268","2,190","2,212","2,231","2,234","2,264","2,338","2,381","2,416","2,479","2,310"
,,,,,,,,,,,,,,,
26,Ata :,Loose,"2,376","2,337","2,325","2,315","2,302","2,294","2,281","2,305","2,398","2,403","2,436","2,502","2,356"
,,,,,,,,,,,,,,,
27,",,",Packet,"2,995","2,985","2,966","2,960","2,953","2,958","2,956","2,960","2,986","2,986","2,982","2,993","2,973"
,,,,,,,,,,,,,,,
28,Flour :,Loose,"3,113","3,101","3,107","3,102","3,106","3,096","3,095","3,085","3,127","3,138","3,139","3,174","3,115"
,,,,,,,,,,,,,,,
29,",,",Packet,"3,985","3,962","3,986","3,974","3,996","4,002","3,997","3,968","4,006","4,013","4,028","4,041","3,996"
,,,,,,,,,,,,,,,
30,Maize,,"1,913","1,968","2,019","1,989","1,867","1,808","1,752","1,742","1,814","1,793","1,834","1,860","1,863"
,,,,,,,,,,,,,,,
