(Per Quintal/Taka),,,,,,,,,,,,,,,
Sl no,Name of Comodity,,Year-2018,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
,,,,,,,,,,,,,,,
129,",,",",, Import
Medium","23,350","23,848","23,421","22,859","23,177","23,596","23,770","23,766","23,237","22,929","23,039","22,847",
,,,,,,,,,,,,,,,"23,320"
,,,,,,,,,,,,,,,
130,",,",",, Import small","19,089","19,298","18,759","19,135","19,733","20,363","20,377","20,211","20,109","20,967","19,833","19,291",
,,,,,,,,,,,,,,,"19,764"
,,,,,,,,,,,,,,,
131,",,",Katla big,"36,100","36,625","36,625","35,300","36,050","32,125","32,250","34,275","33,825","33,840","35,625","36,833",
,,,,,,,,,,,,,,,"34,956"
,,,,,,,,,,,,,,,
132,",,",",, Medium","27,348","27,716","27,856","27,149","27,425","28,093","28,831","28,360","28,159","27,742","27,843","27,638",
,,,,,,,,,,,,,,,"27,847"
,,,,,,,,,,,,,,,
133,",,",",, small","21,249","21,077","21,160","21,142","21,549","22,253","22,381","22,117","22,015","21,838","21,793","21,472",
,,,,,,,,,,,,,,,"21,670"
,,,,,,,,,,,,,,,
134,",,",Mregal big,"17,514","17,483","17,317","17,034","17,956","18,429","19,388","19,205","19,131","19,039","19,106","18,548",
,,,,,,,,,,,,,,,"18,346"
,,,,,,,,,,,,,,,
135,",,",",, small","13,365","13,502","13,253","13,320","13,625","14,295","14,290","14,191","14,313","14,238","14,207","14,078",
,,,,,,,,,,,,,,,"13,890"
,,,,,,,,,,,,,,,
136,",,",Ahire big,"58,917","54,583","53,750","61,250","64,250","66,250","66,875","51,625","52,167","46,167","44,250","49,389",
,,,,,,,,,,,,,,,"55,789"
,,,,,,,,,,,,,,,
137,",,",",, small","33,233","32,125","29,750","31,714","35,000","33,625","43,000","36,075","43,333","29,894","33,429","33,229",
,,,,,,,,,,,,,,,"34,534"
,,,,,,,,,,,,,,,
138,Fish :,Boal big,"52,780","51,350","50,963","51,333","56,875","55,688","59,500","61,500","58,750","55,475","52,650","58,833",
,,,,,,,,,,,,,,,"55,475"
,,,,,,,,,,,,,,,
139,",,",",, small","32,225","31,396","31,086","33,350","34,756","34,810","35,750","34,375","34,357","33,700","32,583","35,469",
,,,,,,,,,,,,,,,"33,655"
,,,,,,,,,,,,,,,
140,",,",Chitol big,"70,000","70,000","70,000","71,250","75,000","75,000","75,000","75,000","75,000","75,000","75,000","75,000",
,,,,,,,,,,,,,,,"73,438"
,,,,,,,,,,,,,,,
141,",,",",, small","33,456","30,375","30,583","38,688","35,688","42,438","42,500","26,000","42,500","42,500","42,500","26,500",
,,,,,,,,,,,,,,,"36,144"
,,,,,,,,,,,,,,,
142,",,",Pangas Big,"10,278","10,149","10,267","10,271","10,370","10,484","10,643","10,619","10,523","10,489","10,453","10,384",
,,,,,,,,,,,,,,,"10,411"
,,,,,,,,,,,,,,,
143,",,",",, Small","8,658","8,702","8,695","8,606","8,813","8,863","9,005","8,962","8,940","8,962","8,894","8,866",
,,,,,,,,,,,,,,,"8,831"
,,,,,,,,,,,,,,,
144,",,",Hilsha,"56,274","53,559","54,647","63,178","63,249","64,910","67,484","65,812","64,216","57,135","58,807","55,643",
,,,,,,,,,,,,,,,"60,410"
,,,,,,,,,,,,,,,
