(Per Quintal/Taka),,,,,,,,,,,,,,,
Sl no,Name of Comodity,,Year-2018,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
,,,,,,,,,,,,,,,
113,Anchor,,"21,053","5,861","5,873","6,028","6,045","6,045","6,045","6,000","5,990","5,990","5,990","5,990",
,,,,,,,,,,,,,,,"7,242"
,,,,,,,,,,,,,,,
114,Condest Milk,(1 Cartun),"2,202","2,104","2,110","2,470","2,400","2,607","2,606","2,601","2,370","2,369","2,366","2,365",
,,,,,,,,,,,,,,,"2,381"
,,,,,,,,,,,,,,,
115,Hen Alive :,Big,"28,484","28,863","29,421","30,328","33,770","34,579","33,511","32,007","31,306","30,508","30,699","30,712",
,,,,,,,,,,,,,,,"31,182"
,,,,,,,,,,,,,,,
116,",,",Middum,"29,405","29,811","30,287","31,286","34,981","35,984","35,015","33,125","32,367","31,809","31,938","32,167",
,,,,,,,,,,,,,,,"32,348"
,,,,,,,,,,,,,,,
117,Hen Alive,Small,"29,026","29,508","30,026","30,963","34,657","36,524","34,140","32,841","31,740","31,080","30,845","31,178",
,,,,,,,,,,,,,,,"31,877"
,,,,,,,,,,,,,,,
118,",,",Farm,"11,497","11,551","11,877","12,065","12,947","13,676","13,028","12,143","11,174","10,958","10,426","10,934",
,,,,,,,,,,,,,,,"11,856"
,,,,,,,,,,,,,,,
119,Duck Alive,,"27,520","27,975","26,875","25,328","25,588","27,563","26,875","23,050","25,125","25,125","26,967","26,875",
,,,,,,,,,,,,,,,"26,239"
,,,,,,,,,,,,,,,
120,Meat,Beef,"40,596","39,885","40,104","40,597","42,247","43,325","43,636","41,372","42,702","42,392","42,860","42,894",
,,,,,,,,,,,,,,,"41,884"
,,,,,,,,,,,,,,,
121,",,",Goat,"63,785","64,275","64,063","62,284","65,600","66,538","66,188","66,000","66,629","66,690","67,248","66,898",
,,,,,,,,,,,,,,,"65,516"
,,,,,,,,,,,,,,,
122,Egg :,Hen,933,951,961,957,962,958,970,"1,002",970,"1,010","1,013","1,007",
,,,,,,,,,,,,,,,975
,,,,,,,,,,,,,,,
123,",,",Farm Red,600,585,559,582,588,572,684,737,724,777,732,704,
,,,,,,,,,,,,,,,654
,,,,,,,,,,,,,,,
124,",,",Farm White,-,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,,-
,,,,,,,,,,,,,,,
125,",,",Duck,896,883,860,849,839,819,872,912,922,954,"1,021",973,
,,,,,,,,,,,,,,,900
,,,,,,,,,,,,,,,
126,Fish :,Ruhi Big,"29,500","28,667","26,833","24,250","29,750","29,000","26,500","30,000","32,000","31,250","33,500","31,050",
,,,,,,,,,,,,,,,"29,358"
,,,,,,,,,,,,,,,
127,",,",",, Medium","29,705","29,085","29,026","28,659","28,934","29,254","29,859","29,893","30,063","29,814","29,266","28,797",
,,,,,,,,,,,,,,,"29,363"
,,,,,,,,,,,,,,,
128,",,",",, Small","23,341","23,403","23,451","23,512","24,003","24,645","24,823","24,772","24,941","24,684","24,135","23,787",
,,,,,,,,,,,,,,,"24,125"
,,,,,,,,,,,,,,,
