(Per Quintal/Taka),,,,,,,,,,,,,,,
Sl no,Name of Comodity,,Year-2018,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
,,,,,,,,,,,,,,,
63,",,",",, Import","5,491","4,112","2,685","2,174","2,396","2,208","2,671","2,900","2,397","2,383","2,182","1,824",
,,,,,,,,,,,,,,,"2,785"
,,,,,,,,,,,,,,,
64,",,",Garlic Local,"5,300","5,227","3,686","4,393","5,080","4,844","4,690","4,640","4,229","3,897","3,782","3,436",
,,,,,,,,,,,,,,,"4,434"
,,,,,,,,,,,,,,,
65,",,",",, Import","7,341","8,586","8,261","8,057","8,430","6,675","6,344","5,773","5,356","5,086","5,473","5,269",
,,,,,,,,,,,,,,,"6,721"
,,,,,,,,,,,,,,,
66,",,",Dry Chili,"14,207","14,944","14,890","14,962","15,221","15,247","15,619","15,987","16,081","16,085","16,011","16,030",
,,,,,,,,,,,,,,,"15,440"
,,,,,,,,,,,,,,,
67,",,",Green Chili,"5,162","4,163","3,229","2,455","2,807","3,765","8,788","7,817","4,850","4,432","3,039","2,767",
,,,,,,,,,,,,,,,"4,439"
,,,,,,,,,,,,,,,
68,",,",Ginger Local,"6,677","6,284","6,518","6,546","8,362","8,231","8,657","10,194","11,193","11,166","10,476","9,511",
,,,,,,,,,,,,,,,"8,651"
,,,,,,,,,,,,,,,
69,Spices,Ginger Import,"7,170","6,778","6,849","6,972","8,390","8,072","8,359","8,922","9,891","10,528","10,294","8,764",
,,,,,,,,,,,,,,,"8,416"
,,,,,,,,,,,,,,,
70,",,","Turmaric
Round","13,403","13,121","13,159","13,207","13,586","13,347","13,371","13,186","13,134","13,486","13,283","13,090",
,,,,,,,,,,,,,,,"13,281"
,,,,,,,,,,,,,,,
71,",,",",, Long","13,303","13,272","13,011","12,906","12,848","12,861","12,844","12,973","13,053","12,880","12,874","12,670",
,,,,,,,,,,,,,,,"12,958"
,,,,,,,,,,,,,,,
72,",,",Coriandder old,"7,605","7,701","7,913","7,906","9,158","8,520","9,443","9,495","9,619","9,586","9,651","9,506",
,,,,,,,,,,,,,,,"8,842"
,,,,,,,,,,,,,,,
73,",,",",, new","7,975","8,167","7,510","7,754","8,742","8,145","8,891","8,891","8,740","8,138","7,350","7,638",
,,,,,,,,,,,,,,,"8,162"
,,,,,,,,,,,,,,,
74,Jute,"White/Tosa
Top","3,600","3,600","3,600","3,600","3,600","3,600","3,600","4,546","4,472","3,417","3,500","3,500",
,,,,,,,,,,,,,,,"3,720"
,,,,,,,,,,,,,,,
75,",,",Middle,-,-,-,-,-,-,-,"4,900","4,456","4,250","4,250","4,249",
,,,,,,,,,,,,,,,"4,421"
,,,,,,,,,,,,,,,
76,",,",B- Bottom,"3,750","3,563","3,600","3,500","3,500","3,500","3,500","4,519","4,881","4,807","4,673","4,650",
,,,,,,,,,,,,,,,"4,037"
,,,,,,,,,,,,,,,
77,",,",C- Bottom,"3,680","4,425","4,460","4,600","4,600","4,600","4,600","4,401","4,545","4,553","4,551","4,625",
,,,,,,,,,,,,,,,"4,470"
,,,,,,,,,,,,,,,
78,",,",Crass- Bottom,"3,033",-,"2,900",-,-,-,-,-,"3,550","5,050","4,900","4,075",
,,,,,,,,,,,,,,,"3,918"
,,,,,,,,,,,,,,,
