(Per Quintal/Taka),,,,,,,,,,,,,,,
Sl no,Name of Comodity,,Year-2018,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
,,,,,,,,,,,,,,,
177,",,",Cagoji Lemon,387,408,381,415,321,282,268,272,262,311,336,297,
,,,,,,,,,,,,,,,328
,,,,,,,,,,,,,,,
178,",,",Guava,"6,426","7,029","7,052","9,036","8,005","6,539","4,531","3,322","3,277","4,117","5,751","5,835",
,,,,,,,,,,,,,,,"5,910"
,,,,,,,,,,,,,,,
179,",,",Amra,-,-,-,-,-,-,"1,436","1,928","2,437","2,451","3,075",-,
,,,,,,,,,,,,,,,"2,265"
,,,,,,,,,,,,,,,
180,",,",Orange,"1,428","1,493","1,656","1,721","1,690","2,105","2,250","1,325","1,775","1,518","2,008","1,812",
,,,,,,,,,,,,,,,"1,732"
,,,,,,,,,,,,,,,
181,",,",Apple,"12,022","11,820","12,041","12,352","12,755","12,986","12,891","12,980","13,853","13,745","13,104","12,940",
,,,,,,,,,,,,,,,"12,791"
,,,,,,,,,,,,,,,
182,",,",Boroi,"4,895","4,256","4,954","6,880",-,-,-,-,-,-,-,-,
,,,,,,,,,,,,,,,"5,246"
,,,,,,,,,,,,,,,
183,",,",Tormuj,-,-,"11,874","10,443","8,669","7,278",-,-,-,-,-,-,
,,,,,,,,,,,,,,,"9,566"
,,,,,,,,,,,,,,,
184,Fruit :,Bangi,-,-,"5,486","5,185","3,350","3,189",-,-,-,-,-,-,
,,,,,,,,,,,,,,,"4,302"
,,,,,,,,,,,,,,,
185,",,",Ripe Papaya,"5,561","6,491","6,147","6,424","6,076","6,450","6,506","6,291","5,794","5,462","6,000","6,144",
,,,,,,,,,,,,,,,"6,112"
,,,,,,,,,,,,,,,
186,",,",Lychee,-,-,-,-,"4,777","2,659",-,-,-,-,-,-,
,,,,,,,,,,,,,,,"3,718"
,,,,,,,,,,,,,,,
187,",,",Benana : Chapa,228,229,235,244,259,256,253,250,244,237,235,238,
,,,,,,,,,,,,,,,242
,,,,,,,,,,,,,,,
188,",,",",, Sabri",343,347,355,363,387,414,393,393,396,397,390,379,
,,,,,,,,,,,,,,,380
,,,,,,,,,,,,,,,
189,",,",Benana : Sagar,281,278,288,288,315,337,452,336,325,311,299,304,
,,,,,,,,,,,,,,,318
,,,,,,,,,,,,,,,
190,",,",Paineapple,"2,086","2,430","2,557","2,665","2,354","2,546","2,811","2,855","3,065","3,138","3,289","2,910",
,,,,,,,,,,,,,,,"2,726"
,,,,,,,,,,,,,,,
191,",,",",, Jaldub",-,-,-,-,-,-,-,-,"2,581","2,019","1,835","1,558",
,,,,,,,,,,,,,,,"1,998"
,,,,,,,,,,,,,,,
192,",,",Coconut,"2,920","2,857","2,811","2,875","2,922","3,015","2,958","2,876","2,780","2,816","2,790","2,829",
,,,,,,,,,,,,,,,"2,871"
,,,,,,,,,,,,,,,
Per Quintal/Taka),,,,,,,,,,,,,,,
