(Per Quintal/Taka),,,,,,,,,,,,,,,
Sl no,Name of Comodity,,Year-2018,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
,,,,,,,,,,,,,,,
161,Betel Nut,,"30,238","30,108","29,406","29,072","29,469","29,364","29,368","29,824","30,101","29,577","29,810","29,968",
,,,,,,,,,,,,,,,"29,692"
,,,,,,,,,,,,,,,
162,Betel Leaf,Big,"7,988","11,330","13,787","14,028","6,764","6,830","6,469","7,278","7,015","6,901","7,774","8,370",
,,,,,,,,,,,,,,,"8,711"
,,,,,,,,,,,,,,,
163,",,",Medium,"5,388","7,562","10,055","6,786","4,729","4,917","4,568","5,326","5,060","5,225","5,644","6,030",
,,,,,,,,,,,,,,,"5,941"
,,,,,,,,,,,,,,,
164,",,",Small,"2,909","4,057","5,222","4,762","3,273","2,795","2,584","2,961","2,782","2,731","3,046","3,346",
,,,,,,,,,,,,,,,"3,372"
,,,,,,,,,,,,,,,
165,",,",Sachi,"6,567","2,215","4,186","3,600","3,980","2,978","2,245","3,177","3,625","4,238","4,425","4,900",
,,,,,,,,,,,,,,,"3,845"
,,,,,,,,,,,,,,,
166,Fruit :,Mango : Guti,-,-,-,-,"4,351","3,265","3,234","4,000",-,-,-,-,
,,,,,,,,,,,,,,,"3,713"
,,,,,,,,,,,,,,,
167,",,",",, Gopalbhog",-,-,-,-,"6,254","4,088","4,090","5,425",-,-,-,-,
,,,,,,,,,,,,,,,"4,964"
,,,,,,,,,,,,,,,
168,",,",",, Himsagar",-,-,-,-,"6,081","4,307","4,696","5,636",-,-,-,-,
,,,,,,,,,,,,,,,"5,180"
,,,,,,,,,,,,,,,
169,",,",",, Langra",-,-,-,-,"6,750","4,454","4,770","5,221",-,-,-,-,
,,,,,,,,,,,,,,,"5,299"
,,,,,,,,,,,,,,,
170,",,",",, Fazli",-,-,-,-,-,"4,238","4,800","6,735","8,667",-,-,-,
,,,,,,,,,,,,,,,"6,110"
,,,,,,,,,,,,,,,
171,",,",",, Ashini",-,-,-,-,-,"3,000","3,689","4,505","7,008","6,600",-,-,
,,,,,,,,,,,,,,,"4,960"
,,,,,,,,,,,,,,,
172,",,",Jacafruit : Big,-,-,-,-,"8,137","6,973","7,351","8,787",-,-,-,-,
,,,,,,,,,,,,,,,"7,812"
,,,,,,,,,,,,,,,
173,",,",",, Small",-,-,-,-,"5,519","4,641","4,080","5,436",-,-,-,-,
,,,,,,,,,,,,,,,"4,919"
,,,,,,,,,,,,,,,
174,",,",Green Coconut,"2,675","2,762","2,753","2,824","3,028","3,052","2,989","3,031","3,002","2,992","2,852","2,810",
,,,,,,,,,,,,,,,"2,897"
,,,,,,,,,,,,,,,
175,",,",Batabi Lemon,"1,200","1,250",-,-,-,-,-,"1,599","1,851","1,968","2,065","1,904",
,,,,,,,,,,,,,,,"1,691"
,,,,,,,,,,,,,,,
176,",,",Alachi Lemon,410,430,441,429,363,315,279,275,285,303,309,296,
,,,,,,,,,,,,,,,345
,,,,,,,,,,,,,,,
