Sl no,Name of Comodity,,Year-2020,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
206,",,",Banana: Chapa,230,235,238,232,231,231,233,235,245,244,244,240,237
207,",,",Sabri,400,395,395,397,433,428,418,378,424,414,409,419,409
208,",,",Banana: Sagar,359,325,330,353,339,332,331,326,324,325,323,319,332
209,",,",Paineapple:Calender,"3,375","3,542","3,375","3,033","3,350","3,005","3,386","3,576","4,015","3,564",4008,3821,3504
210,",,",Jaldub,-,"3,550","3,325","2,460","3,845","2,763","2,500","2,761","3,606","2,275",2228,2750,2915
211,",,",Coconut,"3,262","3,217","3,220","3,216","3,316","3,312","3,380","3,276","3,464","3,511",3506,3754,3374
212,,Dates,"17,155","17,018","18,746","18,368","17,543","18,317","20,352","21,198","21,111","20,794",21275,21562,19453
213,",,",Tamarind with seed,"9,757","9,094","11,366","11,206","9,438","9,461","9,865","9,786","9,500","8,713",8438,11656,9857
214,",,",without seed,"11,875","11,875","11,875","15,938","6,695","5,755","10,000","10,125","10,750","11,563",11625,11485,10797
215,Vegetable:,Potato: Local,"2,508","1,990","1,951","2,059","2,128","2,459","3,619","2,459","3,310","3,700",3919,4062,2847
216,",,",Holland White,"2,030","1,540","1,491","1,737","1,741","2,110","2,447","2,094","2,913","3,483",3666,3703,2413
217,",,",Red,"2,201","1,586","1,529","1,765","1,790","2,238","2,394","2,238","2,956","3,539",3693,3789,2476
218,Sweet Potato,,"2,646","2,060","1,940","1,989","2,050","1,965","2,355","2,018","2,630","2,686",-,3975,2392
219,Vegetable:,Brinjal,"2,687","4,145","2,500","2,502","2,743","3,196","3,089","3,186","4,530","5,290",4294,2547,3392
220,",,",Patal,"3,243","3,631","4,231","4,187","4,113","3,155","2,865","3,155","3,958","4,531",4101,2978,3679
221,",,",Chalcumra,"2,155","2,582","2,182","2,157","2,139","1,866","1,908","1,866","2,075","2,243",2332,2127,2136
222,",,",Pumpkin,"2,302","2,199","1,977","2,023","1,974","1,796","1,775","1,796","2,167","2,491",2716,2262,2123
223,",,",Lao,"1,916","1,973","1,715","1,792","1,722","1,866","1,943","1,866","2,352","2,496",2419,1870,1994
224,",,",Uchehhe,"5,710","8,442","6,487","6,286","6,468","5,599","4,625","5,458","5,424","5,624",4967,3840,5744
225,",,",Karalla,"4,528","5,710","5,012","5,005","5,021","4,203","4,032","4,203","4,747","5,342",4869,3698,4698
226,Vegetable:,Green Papaya,"1,763","1,860","1,883","1,874","1,903","2,522","2,596","2,522","2,173","2,332",2418,1989,2153
227,",,",Mukhi kachu,"3,760","4,050",-,"3,675","3,900","4,202","3,640","4,185","3,066","3,056",3315,3161,3637
228,",,",Pani kachu,"2,583","3,133",-,"3,100","3,092","2,644","2,350","2,801","2,713","2,619",2999,3137,2834
229,",,",Kachur lati,"3,427","3,750","4,031","3,953","3,988","3,014","2,940","3,023","2,871","3,126",3544,3185,3404
230,",,",Kakrol,"3,733","3,250",-,"3,075","3,350","4,072","3,235","3,858","3,826","4,118",4622,3705,3713
231,",,",Lady's Finger,"3,449","3,970","4,548","4,511","4,565","2,572","2,540","2,543","3,579","4,178",4240,3440,3678
232,",,",Sosha,"3,062","2,486","2,046","2,183","2,070","2,375","2,869","2,378","3,251","4,170",3486,2841,2768
233,",,",Khirai,"2,541","2,087","1,722","1,797","1,722","2,084","2,306","2,084","2,260","2,422",3220,2811,2255
234,",,",Beans,"3,135","2,842","2,587","2,605","2,587","2,867","2,724","2,867","3,184","4,582",-,3100,3007
235,",,",Barbati,"3,600","3,841","4,029","3,836","4,051","3,675","3,611","3,631","3,771","4,070",4567,3508,3849
236,",,",Tomato Ripe,"3,649","2,562","2,029","2,125","2,039","3,219","4,954","3,219","3,219","3,710",5565,5603,3491
237,",,",Motorshooti,"6,347","4,944","4,162","4,349","4,190","4,956","5,262","4,956","5,036","5,067",5040,7622,5161
238,",,",Jinga,"3,058","3,496","4,073","4,393","3,719","3,149","3,081","3,154","3,300","3,343",3522,3265,3463
239,",,",Chichinga,"3,340","3,531","3,459","3,430","3,433","2,703","2,759","2,703","2,889","2,930",3019,3072,3106
240,",,",Dundol,"2,556","2,360","2,700","2,995","2,995","2,636","2,272","2,643","2,649","2,708",2834,2568,2660
241,",,",Radish Spinach,"1,237","1,273","1,250","1,315","1,171","1,267","1,458","1,267","1,551","1,551",1686,1419,1370
242,",,",Red Spinach,"1,769","1,742","1,740","1,730","1,744","1,815","1,979","1,815","1,831","1,841",2091,1851,1829
243,",,",Palongsak,"1,596","1,499","1,521","1,510","1,519","1,559","1,603","1,559","1,483","1,500",2079,1750,1598
244,",,",Indian Spinach,"1,441","1,507","1,481","1,479","1,458","1,340","1,434","1,343","1,474","1,473",1526,1581,1461
245,",,",Danta,"1,669","1,678","1,666","1,637","1,640","1,402","1,680","1,402","1,412","1,412",1474,1599,1556
246,",,",Cauliflower,"2,520","2,136","2,073","2,058","2,073","2,131","1,949","2,131","2,087","2,087",3705,2200,2262
247,",,",Cabbage,"1,826","1,529","1,455","1,466","1,455","1,436","1,512","1,436","1,489","1,489",2655,1988,1645
248,",,",Oal kopy,"2,125","1,685","1,742","1,765","1,656","1,506","1,636","1,506","1,733","1,733",2308,2010,1784
249,",,",Carrot,"2,776","2,189","2,045","2,039","2,045","2,777","3,399","2,777","2,499","2,499",3535,3826,2701
