Sl no,Name of Comodity,,Year-2020,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
85,",,",Smr,-,-,-,-,-,-,-,-,-,-,,-,--
86,",,",Gor chhat,-,-,-,-,-,-,-,-,-,-,,-,--
87,",,",Mesta gor chhat,"4,163","4,000","4,000","4,088","4,800","4,800","4,300","4,800","4,800","5,515",5398,5845,4709
88,Cotton,Shimul,"33,842","33,486","33,486","30,489","32,472","32,219","35,964","31,706","30,661","30,847",30573,30498,32187
89,",,",carpus,"14,150","14,150","14,150","14,150","14,150","17,417","17,417","17,083","15,563","15,563",15563,15563,15410
90,Tobbaco,Jati heavy,"10,600","10,600","10,600","10,600","10,600","10,600","10,500","16,500","16,500","12,567",12567,12567,12067
91,",,",Jati Medium,"8,500","8,500","8,500","8,500","8,500","8,500","8,500","12,750","12,750","12,750",12750,12750,10271
92,",,",Jati general,"6,600","6,600","6,600","6,600","6,600","6,600","6,600","10,550","10,550","10,550",10550,10500,8242
93,",,",Motihar heavy,"14,410","14,497","14,497","14,499","13,293","14,728","12,888","13,125","13,125","12,369",13131,11971,13544
94,",,",Motihar medium,"10,756","10,803","10,803","10,800","10,789","10,825",-,"10,014","10,014","10,014",10014,8288,10284
95,",,",Moti general,"7,617","7,617","7,617","7,617","7,617","7,480",-,"6,475","6,475","6,475",6475,6475,7085
96,",,",Varginia(heat),-,-,-,-,-,-,-,-,-,-,-,-,-
97,",,",Bangla-1 (heat),-,-,-,-,-,-,-,-,-,-,-,-,-
98,",,","Bangle-2 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
99,",,","Bangle-3 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
100,",,","Bangle-4 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
101,",,","Bangla-5 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
102,",,","Bangle-6 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
103,",,","Bang;a-7 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
104,",,","Bang;a-8 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
105,",,",Varginia(air),-,-,-,-,-,-,-,-,-,-,-,-,-
106,",,",Dv- 1(air),-,-,-,-,-,-,-,-,-,-,-,-,-
107,",,","DV-2 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
108,",,","DV-3 ,,",-,-,-,-,-,-,-,-,-,-,-,-,-
109,"Hide skin:
COW",Light,"24,131","23,854","23,854","23,135","23,135","27,225",-,"27,225","27,225","25,979",26604,26251,
,,,,,,,,,,,,,,,25329
,,,,,,,,,,,,,,,
110,",,",Medium,"37,547","37,033","37,033","36,301","38,110","33,296",-,"33,296","33,296","33,441",33477,33730,35142
111,",,",heavy,"57,441","56,875","56,875","56,317","57,774","53,517",-,"53,517","53,517","53,700",53746,53997,55207
112,",,",katachera,"12,305","12,429","12,429","12,305","11,857","11,500",-,"11,500","11,500","11,500",11500,11514,11849
113,"Hide skin
Bufello",heavy,"50,800","51,750","51,750","43,393","43,750","46,292","54,600","46,292","54,600","46,025",45958,48692,
,,,,,,,,,,,,,,,48658
,,,,,,,,,,,,,,,
114,",,",medium,"39,125","39,563","39,563","39,125","40,714","39,813","39,813","39,813","39,813","40,563",40750,41813,40039
115,",,",katachera,-,-,-,-,-,-,-,-,-,-,,-,-
116,Hide skin,Sheep,"3,639","3,423","3,423","3,562","4,518","2,979",-,"2,979","2,979","2,979",2979,2836,3300
117,",,",Goat,"6,310","6,331",-,"4,544","5,307","3,774",-,"3,774","3,774","3,762",3620,3580,4478
118,"Chemical
fertilizer",Uria 50 kg,787,787,787,787,786,786,786,786,786,786,787,788,
,,,,,,,,,,,,,,,787
,,,,,,,,,,,,,,,
119,",,","TSP ,,","1,092","1,093","1,093","1,092","1,088","1,090","1,090","1,090","1,090","1,091",1091,1093,1091
120,",,","DAP ,,",788,789,789,788,785,782,-,782,782,782,782,786,785
121,",,","MP ,,",733,732,732,732,733,733,733,733,733,733,733,736,733
122,",,",Zinc LOCAL,"3,120","3,378","3,378","3,296","3,338","3,250","3,250","3,250","3,250","3,250",3250,2440,3204
123,",,",Zinc foreign,"3,937","3,963","3,963","5,459","3,570","5,265","3,736","5,265","5,265","5,265",5265,5225,4682
124,",,",Zipsum,169,174,174,185,183,221,-,245,238,239,238,258,211
125,Organic,Cowdung,117,117,117,117,117,117,117,117,117,117,117,116,117
