Sl no,Name of Comodity,,Year-2020,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
124,",,","Rui local small
(1.5+kg)",23851,24012,23961,23966,23992,24132,24057,23841,23936,24108,24065,23915,
,,,,,,,,,,,,,,,23986
,,,,,,,,,,,,,,,
125,",,","Imported
medium(2.5+kg)",23133,22989,23265,23437,23560,23563,23778,24457,24132,23130,22827,22654,
,,,,,,,,,,,,,,,23410
,,,,,,,,,,,,,,,
126,",,",Imported small,19642,19630,19428,19474,19368,19857,19830,19817,20523,19579,20012,20262,19785
127,",,",Katal large,30917,32650,34050,34038,36000,36000,36000,32800,30683,32047,32063,31813,33255
128,",,",medium,27940,27236,27268,27349,27795,27610,28121,28181,27836,27895,27797,27818,27737
129,",,",small,21676,21964,21928,21698,21727,21746,21579,21767,21807,22015,22011,21874,21816
130,Fish (Ka):Live,Mrigel large,19135,19411,18908,18918,18897,19420,19516,19784,18941,18940,19151,18995,19168
131,",,",small,14720,15156,14575,14644,14675,14253,16074,14623,15099,14511,14700,14662,14808
132,",,",Airr large,53656,53813,49563,49563,52650,61938,46583,53361,54508,63240,67000,69667,56295
133,",,",small,36250,38631,38929,38929,38536,40714,41375,41250,43198,43292,44042,46071,40935
134,",,",Boal large,61025,61775,62078,62078,62078,62625,68446,73354,64891,67516,68344,72767,65581
135,",,",Small,39847,43141,35657,35657,35712,37938,38906,38917,47335,46315,46417,43491,40778
136,",,",Chital large,73750,70000,70000,70000,46667,70000,46667,46667,57500,57500,57500,57500,60313
137,",,",Chital small,20492,37500,18150,19867,18119,19833,18150,37500,25250,37500,37500,18450,25693
138,",,",Pangush larges,11362,11447,11501,11395,11323,11372,11443,11529,11379,11493,11473,11463,11432
139,",,",small,9228,9107,9260,9256,9180,9813,9244,9337,9993,9417,9833,9586,9438
140,",,",Hilsha (small/ larges),59518,62336,64896,65410,66945,67612,69681,71284,69037,68332,72106,71954,67426
141,",,",Prawn bagda,62727,62795,62913,62913,63852,65190,65879,67420,66775,67888,69361,66727,65370
142,",,",golda,61350,60054,60186,60193,60366,61185,59507,63875,64728,66838,68550,63828,62555
143,",,",small,40215,40904,40929,40929,40897,42329,42775,44690,46237,46786,46567,45644,43242
144,",,",Koii,15699,15824,17082,17422,17067,15199,14706,14860,16601,16128,16865,16259,16143
145,",,",Magur,59087,55491,56598,56598,51445,51271,54536,51104,49729,47719,48240,45840,52305
146,",,",Shing,39963,40231,39583,39557,39330,39634,38909,38840,38804,38000,37961,36514,38944
147,",,",Silvar curp,12593,12603,12641,12675,12659,12842,13071,12883,12911,13028,13133,13166,12851
148,",,",Grass curp,15762,15970,15906,15977,15894,15897,16088,16128,15660,16122,16277,16291,15998
149,",,",Telapia / Nailotika,11460,11506,11584,11534,11484,11544,11604,11759,11734,11819,11930,12138,11675
150,",,",Rupchada,62375,63208,63208,63208,63208,70850,64750,71250,71250,72500,66719,68100,66719
151,Fish(Kha)Dry,Rupchada,133750,133750,133750,133750,133750,138333,135000,128969,138333,138333,137917,136833,135206
152,",,",Loitta,46653,46801,47011,47011,46989,44620,45102,44917,46796,46898,46764,47225,46399
153,",,",Puti,32475,32625,33875,33875,33633,34180,36250,36250,37250,38125,38125,40500,35597
154,",,",Prawn,70788,70688,67236,67236,67455,61766,60011,49932,63450,62929,67458,68395,64779
155,“,Kachki,43042,43292,42250,42714,42786,42900,43313,42778,43613,43656,43563,43747,43138
156,,Salted Hilsha,80000,80000,58250,58250,58250,80000,67833,77833,68375,69625,59625,69625,68972
157,Betel nut,-,80000,80000,58250,58250,58250,80000,47833,47833,48375,49625,49625,8021,35249
158,"Betel leaves
bangla",Large,9269,10143,10866,10586,10053,9658,9391,8638,7985,7676,7769,5387,
,,,,,,,,,,,,,,,9171
,,,,,,,,,,,,,,,
159,",,",Medium,6437,7038,7481,7749,7411,6717,6485,5936,5388,5137,5248,2924,6368
160,",,",Small,3820,4171,4520,4578,3744,3680,3449,3191,3050,2798,2817,2266,3562
161,",,",Sanchi,2250,2833,3343,3417,2617,1938,1865,2481,3695,3274,3258,,2770
162,Fruits:,Mango Guti,-,-,-,-,3746,3125,3020,3300,3750,-,-,,3388
163,,Gopalbhog,-,-,-,-,5708,4451,4075,5781,5275,5500,-,,5132
164,,Himsagor,-,-,-,-,5061,44448,4502,4995,5183,5500,-,,4948
165,,Langra,-,-,-,-,5025,4506,4442,5193,5020,5500,-,,4948
