Sl no,Name of Comodity,,Year-2020,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
211,",,",Beans,2278,1952,1999,2294,2249,2090,2016,2642,4704,7169,5454,3307,3179
212,",,",Barbati,3148,3375,3570,3744,3298,3625,3676,3519,4070,4161,4215,3721,3677
213,",,",Tomato Ripe,2717,1852,1330,1683,2031,2846,3970,4837,5308,7334,8161,5085,3929
214,",,",Motorshooti,5501,3971,3576,3593,3620,3943,4022,4055,3906,-,5567,5436,4290
215,",,",Jinga,3008,2783,3228,3780,2990,2865,2674,2664,2922,3101,3213,3063,3024
216,",,",Chichinga,2823,2771,3098,3022,2611,2530,2370,2149,2504,2782,2974,2942,2715
217,",,",Dundol,2665,2496,2675,2695,2204,2465,2205,1984,2333,2359,2453,2434,2414
218,",,",Radish Spinach,1252,1350,924,1790,1083,1360,1567,1333,1871,1872,1907,1566,1490
219,",,",Red Spinach,2014,1672,1643,1763,1701,1906,2071,2150,2137,2276,2307,2018,1971
220,",,",Palongsak,1409,1393,1326,1436,1297,1415,1342,1685,1840,2550,2603,2081,1698
221,",,",Indian Spinach,1561,1614,1592,1555,1463,1460,1465,1474,1520,1523,1627,1542,1533
222,",,",Danta,2460,1756,1568,1566,1469,1426,1462,1604,1788,1790,1756,1891,1711
223,",,",Cauliflower,1445,1095,1109,1092,1032,1121,1322,1098,2764,4996,4200,2798,2006
224,",,",Cabbage,1304,941,829,866,825,976,773,822,1908,3766,3084,2054,1512
225,",,",Oal kopy,1515,1486,1028,1165,1138,1281,1050,1275,-,-,4106,2547,1659
226,",,",Carrot,2696,2174,1827,1984,2020,2620,3523,3830,4732,6961,7688,3967,3668
227,",,",Green Banana,404,431,428,495,433,440,427,383,429,416,499,487,439
228,",,",Radish,947,882,769,951,776,783,1164,1005,2020,2336,2139,1688,1288
229,Bibidh:,Sugar-Local,6038,6100,6269,6689,6363,6415,6484,6765,7237,7471,7455,7383,6722
230,,Sugar-foreign,5995,6048,6199,6258,6273,6263,6284,6449,6782,7079,7172,7316,6510
231,Gur,Sugarcane,6852,6834,6856,6895,7091,7149,6930,6969,7392,7987,7394,7619,7164
232,,Dates,9074,9324,9298,9042,9304,9327,9403,11312,9214,9227,9183,10058,9480
233,Salt,With Iodine,2610,2712,2645,2584,2594,2592,2588,2575,2667,2688,2586,2471,2609
234,",,",Loose,1807,1552,1766,1782,1759,1832,1781,1805,1829,1782,1594,1294,1715
235,Vushi,Mashur,2937,2927,2928,2979,2940,2870,2982,3029,2921,2992,2990,2876,2948
236,",,",Chola,3671,3699,3658,3677,3671,3672,3673,3683,3697,3643,3687,3521,3663
237,",,",Kheshari,3256,3226,3345,3245,3253,3160,3146,3154,3170,3154,3171,2666,3162
238,",,",Wheat,2955,2962,2981,2995,3007,3007,3022,3022,3039,3044,3065,3207,3025
239,",,",Rice kura,1295,1311,1325,1420,1390,1355,1312,1340,1342,1358,1434,1515,1366
240,",,",Lakri cherai Mango,529,529,530,531,529,527,527,529,528,520,529,649,538
