Sl no,Name of Comodity,,Year-2020,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
86,",,",Moti general,6475,6875,7617,7617,7617,7480,7500,6475,6475,6475,6475,6475,6963
87,"Hide skin:
COW",Light,26251,23854,23854,25135,23135,27225,27704,26775,27225,25979,2604,26251,
,,,,,,,,,,,,,,,25833
,,,,,,,,,,,,,,,
88,",,",Medium,37547,37033,37033,36301,38110,33296,-,33296,33296,33441,36437,33730,35411
89,",,",heavy,57441,56875,56875,56317,57774,53517,-,53517,53517,53700,53746,53997,55207
90,",,",katachera,12305,12429,12429,12305,11857,11500,-,11500,11500,11500,11500,11514,11849
91,"Hide skin
Bufello",heavy,50800,51750,51750,43393,43750,46292,54600,46292,54600,46025,45958,48692,
,,,,,,,,,,,,,,,48658
,,,,,,,,,,,,,,,
92,",,",medium,39125,39563,39563,39125,40714,39813,39813,39813,39813,40563,40750,41813,40039
93,Hide skin,Sheep,3639,3423,3423,3562,4518,2979,-,2979,2979,2979,2979,2836,3300
94,",,",Goat,6310,6331,5800,4544,5307,3774,-,3774,3774,3762,3620,3580,4598
95,"Chemical
fertilizer",Uria 50 kg,788,787,787,787,786,786,786,786,788,786,787,788,
,,,,,,,,,,,,,,,787
,,,,,,,,,,,,,,,
96,",,","TSP ,,",1090,1093,1093,1092,1088,1090,1090,1090,1090,1091,1091,1093,1091
97,",,","DAP ,,",788,789,789,788,785,782,-,782,782,782,782,786,785
98,",,","MP ,,",736,732,732,732,733,733,733,733,733,733,733,736,733
99,",,",Zinc LOCAL,2440,3378,3378,3296,3338,3250,3250,3250,3250,3250,3250,2440,3147
100,",,",Zinc foreign,5226,3963,3963,5259,3570,5265,3736,5265,5265,5265,5265,5225,4772
101,",,",Zipsum,260,174,174,185,183,221,-,245,238,239,238,258,220
102,"Organic
fertilizer",Cowdung 50 kg,116,117,117,117,117,117,117,117,117,117,117,116,
,,,,,,,,,,,,,,,117
,,,,,,,,,,,,,,,
104,Cow Milk,liquid,5228,5148,-,5118,5070,5228,-,5228,5228,5228,5228,5228,5193
105,Gawa ghee,-,82900,80550,80550,80720,80500,82900,82900,82900,82900,82900,82900,82900,82127
106,Dano,--,6325,6569,6569,6569,6569,6325,-,6325,6325,6325,6325,6325,6414
107,Red cow,-,5825,6175,6175,6350,6875,5825,5825,5825,5825,5825,5825,5825,6015
108,Anchor,-,5400,6000,6000,6000,600,5400,-,5400,5400,5400,5400,5400,5618
109,"Condensed
milk",One kartoon,2180,2184,2184,2183,2182,2180,-,2180,2180,2180,2180,2180,
,,,,,,,,,,,,,,,2181
,,,,,,,,,,,,,,,
110,"Hen/chicken-
Live",Local large(900gm+),34684,34227,36158,37423,38809,38855,37811,37522,35426,36548,36690,36805,
,,,,,,,,,,,,,,,36746
,,,,,,,,,,,,,,,
111,",,",",, medium(700gm+)",34144,34778,36799,37997,39163,39123,38174,37829,36804,36790,37127,37224,37163
112,",,",",, small(500gm+)",34109,34477,35947,37248,38217,38756,38026,37781,36410,36474,36710,37253,36784
113,",,",Farm broiler,11177,12239,13062,12974,12784,12262,11990,11424,12137,14127,14067,13882,12677
114,",,",Cock,22443,19998,25744,24513,25729,22313,21157,19552,21778,25079,24614,23887,23067
115,",,",Duck,28620,26643,30190,30240,30263,27119,27630,27595,26300,26607,26631,28719,28046
116,Meat,Cow,50074,51094,51786,52132,52723,52809,53229,52821,52855,53134,53219,52798,52389
117,",,",Goat,70633,71042,71490,71580,72083,72623,73021,72773,72705,72705,72705,71282,72053
118,Egg,Chicken local,1099,1083,1109,1108,1113,1098,1113,1127,1132,1140,1164,1203,1124
119,",,",Farm red,676,677,679,673,676,722,751,759,796,823,831,780,
,,,,,,,,,,,,,,,737
,,,,,,,,,,,,,,,
120,",,",Farm white,638,668,692,694,695,781,777,799,853,874,822,770,755
121,",,",duck,1041,1116,1038,1027,1027,1006,1024,1041,1063,1095,1141,1151,1064
122,Fish (Ka):Fresh,Rui local big(5+kg),34167,32607,32036,33750,34550,35917,32900,32619,32913,34153,33714,34092,33618
,,,,,,,,,,,,,,,
123,",,","Rui local
(2.5+kg)medium",28152,27306,27359,27304,27303,27796,28510,27848,27994,28387,28322,29003,
,,,,,,,,,,,,,,,27940
,,,,,,,,,,,,,,,
