Sl no,Name of Comodity,,Year-2020,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
166,,Fazli,-,-,-,-,-,3907,4598,5930,6038,-,-,,5118
167,,Aswini,-,-,-,-,-,3960,3456,3710,4711,4533,8000,,4728
168,Jackfruits,Large(4+kg),-,-,-,-,11781,9411,8081,9481,10709,-,-,,9893
169,,Small,-,-,-,-,7656,6669,5347,6401,7623,8000,-,,7283
170,Fruits,Green Coconut,3409,3450,3624,3818,4218,4455,4069,4071,4285,4426,4387,4288,4042
171,,Batabi lebu,1908,-,-,-,-,-,1000,2143,2362,2225,2580,2316,2076
172,,Elachi lebu,365,431,471,529,411,336,309,320,313,315,316,318,369
173,,Kagozi lebu,371,426,452,511,409,323,326,298,294,292,308,329,361
174,",,",Guava,5996,6302,5855,5269,5316,5067,4355,3879,4300,4555,5261,5529,5140
175,",,",Amra,-,-,-,-,-,-,2343,2389,2370,2674,2884,2985,2608
176,",,",Orange,2333,1288,1339,1422,1488,1422,1489,1482,1599,1527,1464,1461,1526
177,",,",Apple,12546,12757,12874,14025,13706,13883,13696,14089,14447,14209,14411,13979,13718
178,",,",Boroi,6892,5761,5181,5077,4438,4417,4639,4375,4375,-,-,4500,4965
179,",,",Water melon (Tormuj),-,-,12145,9492,12113,12223,10360,13033,13033,-,-,-,11771
180,Fruit:,Melon (Bangi),-,-,4889,4958,4595,5108,7917,9000,9000,-,-,-,6495
181,",,",Ripe Papaya,6057,6656,6473,6594,7885,6594,6619,6172,6414,5917,6010,5946,6445
182,",,",Lychee,-,-,-,-,2680,3062,3275,3375,3717,-,-,-,3222
183,",,",Banana: Chapa,241,242,230,243,250,258,251,249,428,250,246,249,261
184,",,",Sabri,403,407,422,419,484,452,447,445,450,453,446,459,441
185,",,",Banana: Sagar,317,325,351,358,374,377,378,383,399,359,355,354,361
186,",,",Paineapple:Calengga,4167,3000,3740,3929,3641,3922,4124,4448,3960,5374,5700,6548,4213
187,",,",Jaldub,4250,-,2233,2546,2523,3000,2735,2902,3250,3438,3250,3375,3046
188,",,",Coconut,4057,4448,4661,4612,4888,4869,4804,4495,4354,4437,4470,4467,4547
189,,Dates,20934,25693,20725,20458,19438,21557,22882,23581,25832,25917,24352,24221,22966
190,",,",Tamarind with seed,8255,17600,10009,10476,8734,8836,8990,9064,9011,10954,10025,10122,10173
190,",,",without seed,11494,11488,12210,12200,12200,12160,12040,11975,9350,10188,14500,13750,11963
192,Vegetable:,Potato: Local,2221,1692,1753,1778,1935,1900,2017,2028,1910,1892,2051,2318,1958
193,",,",Holland White,1927,1463,1297,1345,1338,1496,1616,1638,1518,1520,1763,1960,1573
194,",,",Red,2051,1482,1314,1422,1360,1509,1623,1650,1625,1662,1744,1946,1616
195,Sweet Potato,,2513,2216,2103,2181,1975,1925,1859,2030,2230,1863,2081,2642,2135
196,Vegetable:,Brinjal,2089,1967,2172,3302,2515,3047,3081,3052,3684,3864,4037,2947,2980
197,",,",Patal,3263,4225,4219,3570,3115,2715,2576,2373,2820,2968,3010,2842,3141
198,",,",Chalcumra,2082,1958,2023,2288,2049,1928,1956,1876,1944,1929,2064,2156,2021
199,",,",Pumpkin,2015,1947,1748,1630,1625,1567,1749,1914,2187,2460,2524,2821,1982
200,",,",Lao,1799,1679,1496,1606,1614,1910,1967,1996,2011,2042,2165,2290,1881
201,",,",Uchehhe,4079,5038,3970,3730,3958,4127,4099,3944,3909,4738,4765,4500,4238
202,",,",Karalla,3562,3819,3777,3660,3355,3912,3989,3526,3429,4013,4659,4058,
203,Vegetable:,Green Papaya,1830,1836,1817,2055,2278,2553,2350,1861,1523,1372,1337,1439,
204,",,",Mukhi kachu,3217,3136,3336,3381,4448,3806,3171,2523,2311,2156,2184,2280,
205,",,",Pani kachu,3325,2225,2230,3025,2201,3083,2783,2302,2356,2339,2477,2802,
206,",,",Kachur lati,2897,3233,3762,3755,3394,3230,3095,2750,3053,3214,3230,3195,
207,",,",Kakrol,3653,3292,3328,6543,3922,3667,3068,2702,3008,3408,3634,3550,
208,",,",Lady's Finger,3746,3955,4193,3692,2925,2655,2631,2684,3136,3434,3829,3387,3356
209,",,",Sosha,2554,2414,2627,3017,2738,2946,2876,2424,2930,3111,2505,2315,2705
210,",,",Khirai,2202,2027,2050,2144,2045,2474,2359,2198,2510,2570,2609,2331,2293
